Order ID,Date,Category,Product Name,Quantity,Unit Price,Total Price,Region,Payment Method,Year,Month,Day,DayOfWeek,WeekOfYear,IsWeekend
ORD12269,2023-01-01,Clothing,Wool Sweater,6,3312.47,19874.82,North America,Credit Card,2023,1,1,6,52,1
ORD13941,2023-01-01,Sports,Dumbbell Set,5,3122.84,15614.2,North America,Credit Card,2023,1,1,6,52,1
ORD14415,2023-01-01,Beauty Products,Sunscreen SPF50,2,233.44,466.88,Africa,Debit Card,2023,1,1,6,52,1
ORD15200,2023-01-01,Books,Self-Help Guide,3,559.72,1679.16,Australia,UPI,2023,1,1,6,52,1
ORD15596,2023-01-01,Clothing,Formal Shirt,6,3473.57,20841.42,North America,Debit Card,2023,1,1,6,52,1
ORD15680,2023-01-01,Books,Notebook Set,1,978.81,978.81,Australia,Net Banking,2023,1,1,6,52,1
ORD15718,2023-01-01,Home Appliances,Table Lamp,3,11222.41,33667.23,Africa,Debit Card,2023,1,1,6,52,1
ORD15852,2023-01-01,Home Appliances,Microwave Oven,1,4066.8,4066.8,Africa,Debit Card,2023,1,1,6,52,1
ORD15670,2023-01-02,Beauty Products,Shampoo,4,1279.73,5118.92,South America,Net Banking,2023,1,2,0,1,0
ORD13618,2023-01-02,Beauty Products,Lipstick,1,1382.65,1382.65,Europe,UPI,2023,1,2,0,1,0
ORD13502,2023-01-02,Clothing,Formal Shirt,2,1172.91,2345.82,Europe,Debit Card,2023,1,2,0,1,0
ORD13384,2023-01-02,Electronics,Bluetooth Speaker,1,10938.18,10938.18,Asia,Credit Card,2023,1,2,0,1,0
ORD12786,2023-01-02,Home Appliances,Table Lamp,4,1255.29,5021.16,Asia,Net Banking,2023,1,2,0,1,0
ORD12639,2023-01-02,Clothing,Wool Sweater,1,1917.21,1917.21,Africa,Credit Card,2023,1,2,0,1,0
ORD10979,2023-01-02,Beauty Products,Sunscreen SPF50,5,473.82,2369.1,Asia,Credit Card,2023,1,2,0,1,0
ORD12871,2023-01-02,Clothing,Cotton T-Shirt,4,2158.09,8632.36,Australia,PayPal,2023,1,2,0,1,0
ORD13392,2023-01-03,Clothing,Formal Shirt,3,2571.19,7713.57,South America,UPI,2023,1,3,1,1,0
ORD15082,2023-01-03,Home Appliances,Table Lamp,5,9361.18,46805.9,North America,UPI,2023,1,3,1,1,0
ORD14523,2023-01-03,Electronics,USB-C Hub,3,14271.92,42815.76,Australia,Debit Card,2023,1,3,1,1,0
ORD14162,2023-01-03,Home Appliances,Air Fryer,4,9260.53,37042.12,Europe,PayPal,2023,1,3,1,1,0
ORD12028,2023-01-03,Sports,Football,3,1011.51,3034.53,Asia,UPI,2023,1,3,1,1,0
ORD13784,2023-01-03,Sports,Dumbbell Set,4,5071.79,20287.16,Asia,Credit Card,2023,1,3,1,1,0
ORD11754,2023-01-03,Books,Notebook Set,35,701.22,24542.7,Australia,UPI,2023,1,3,1,1,0
ORD11205,2023-01-03,Sports,Dumbbell Set,5,512.88,2564.4,South America,PayPal,2023,1,3,1,1,0
ORD11202,2023-01-03,Clothing,Formal Shirt,4,2624.59,10498.36,South America,PayPal,2023,1,3,1,1,0
ORD10925,2023-01-03,Home Appliances,Office Chair,2,4149.24,8298.48,South America,PayPal,2023,1,3,1,1,0
ORD11832,2023-01-03,Books,Fiction Novel,1,734.57,734.57,South America,Credit Card,2023,1,3,1,1,0
ORD14831,2023-01-04,Beauty Products,Perfume,2,1409.49,2818.98,Africa,Net Banking,2023,1,4,2,1,0
ORD14148,2023-01-04,Home Appliances,Microwave Oven,3,11474.78,34424.34,Australia,PayPal,2023,1,4,2,1,0
ORD13852,2023-01-04,Sports,Yoga Mat,1,5024.23,5024.23,Africa,Debit Card,2023,1,4,2,1,0
ORD13773,2023-01-04,Beauty Products,Face Moisturizer,3,1619.46,4858.38,North America,PayPal,2023,1,4,2,1,0
ORD13643,2023-01-04,Beauty Products,Shampoo,4,465.65,1862.6,Asia,Credit Card,2023,1,4,2,1,0
ORD13496,2023-01-04,Electronics,Bluetooth Speaker,5,11585.54,57927.7,South America,Debit Card,2023,1,4,2,1,0
ORD13060,2023-01-04,Beauty Products,Face Moisturizer,1,1838.72,1838.72,South America,Debit Card,2023,1,4,2,1,0
ORD12455,2023-01-04,Books,Notebook Set,1,499.9,499.9,South America,PayPal,2023,1,4,2,1,0
ORD11330,2023-01-04,Electronics,Wireless Mouse,1,4316.98,4316.98,Africa,UPI,2023,1,4,2,1,0
ORD11317,2023-01-04,Books,Children's Storybook,1,839.32,839.32,South America,Credit Card,2023,1,4,2,1,0
ORD11171,2023-01-04,Electronics,Bluetooth Speaker,1,7326.56,7326.56,Africa,Credit Card,2023,1,4,2,1,0
ORD11154,2023-01-04,Electronics,Smartwatch,2,12440.44,24880.88,Australia,UPI,2023,1,4,2,1,0
ORD10913,2023-01-04,Home Appliances,Vacuum Cleaner,2,10425.19,20850.38,Africa,UPI,2023,1,4,2,1,0
ORD10189,2023-01-04,Clothing,Formal Shirt,5,1183.66,5918.3,Asia,Net Banking,2023,1,4,2,1,0
ORD11470,2023-01-04,Clothing,Wool Sweater,1,1989.4,1989.4,North America,PayPal,2023,1,4,2,1,0
ORD12737,2023-01-05,Beauty Products,Shampoo,2,2127.31,4254.62,Australia,PayPal,2023,1,5,3,1,0
ORD15926,2023-01-05,Home Appliances,Microwave Oven,2,6574.41,13148.82,Africa,Credit Card,2023,1,5,3,1,0
ORD13547,2023-01-05,Electronics,Laptop Stand,1,13053.27,13053.27,Africa,Credit Card,2023,1,5,3,1,0
ORD13531,2023-01-05,Home Appliances,Table Lamp,2,8854.8,17709.6,Australia,PayPal,2023,1,5,3,1,0
ORD12935,2023-01-05,Electronics,Bluetooth Speaker,3,12331.13,36993.39,Asia,Debit Card,2023,1,5,3,1,0
ORD12365,2023-01-05,Beauty Products,Shampoo,5,310.23,1551.15,Australia,Debit Card,2023,1,5,3,1,0
ORD10726,2023-01-05,Books,Children's Storybook,7,634.39,4440.73,Asia,PayPal,2023,1,5,3,1,0
ORD12209,2023-01-05,Books,Fiction Novel,3,598.63,1795.89,North America,PayPal,2023,1,5,3,1,0
ORD12149,2023-01-05,Home Appliances,Vacuum Cleaner,2,4055.33,8110.66,North America,Credit Card,2023,1,5,3,1,0
ORD12046,2023-01-05,Clothing,Denim Jacket,2,2085.48,4170.96,North America,UPI,2023,1,5,3,1,0
ORD10489,2023-01-05,Books,Fiction Novel,2,880.15,1760.3,Europe,PayPal,2023,1,5,3,1,0
ORD12232,2023-01-05,Home Appliances,Microwave Oven,5,10438.04,52190.2,Europe,Credit Card,2023,1,5,3,1,0
ORD15696,2023-01-06,Clothing,Wool Sweater,1,2714.17,2714.17,Europe,UPI,2023,1,6,4,1,0
ORD14547,2023-01-06,Clothing,Denim Jacket,4,3485.51,13942.04,Asia,Debit Card,2023,1,6,4,1,0
ORD14533,2023-01-06,Books,Cookbook,4,273.83,1095.32,Africa,PayPal,2023,1,6,4,1,0
ORD14504,2023-01-06,Beauty Products,Perfume,1,923.07,923.07,Australia,UPI,2023,1,6,4,1,0
ORD14028,2023-01-06,Sports,Football,1,4473.05,4473.05,Australia,PayPal,2023,1,6,4,1,0
ORD10908,2023-01-06,Clothing,Running Shoes,1,1720.0,1720.0,Africa,PayPal,2023,1,6,4,1,0
ORD11323,2023-01-06,Clothing,Denim Jacket,3,2137.53,6412.59,Europe,PayPal,2023,1,6,4,1,0
ORD10528,2023-01-06,Electronics,Laptop Stand,4,6644.92,26579.68,Asia,Credit Card,2023,1,6,4,1,0
ORD10404,2023-01-06,Electronics,Smartwatch,5,5580.06,27900.3,North America,Net Banking,2023,1,6,4,1,0
ORD10071,2023-01-06,Books,Children's Storybook,4,761.87,3047.48,Europe,Debit Card,2023,1,6,4,1,0
ORD12910,2023-01-06,Home Appliances,Vacuum Cleaner,2,7287.66,14575.32,Africa,Credit Card,2023,1,6,4,1,0
ORD15019,2023-01-07,Beauty Products,Perfume,2,329.45,658.9,North America,Credit Card,2023,1,7,5,1,1
ORD13134,2023-01-07,Electronics,Wireless Mouse,29,6822.44,197850.76,Asia,Credit Card,2023,1,7,5,1,1
ORD14453,2023-01-07,Home Appliances,Microwave Oven,2,7035.53,14071.06,North America,Debit Card,2023,1,7,5,1,1
ORD11029,2023-01-07,Electronics,USB-C Hub,3,8543.93,25631.79,South America,Credit Card,2023,1,7,5,1,1
ORD12898,2023-01-07,Books,Children's Storybook,1,611.57,611.57,North America,PayPal,2023,1,7,5,1,1
ORD15304,2023-01-08,Electronics,Smartwatch,5,2356.36,11781.8,North America,PayPal,2023,1,8,6,1,1
ORD14374,2023-01-08,Home Appliances,Table Lamp,3,7102.04,21306.12,Africa,Debit Card,2023,1,8,6,1,1
ORD14350,2023-01-08,Beauty Products,Perfume,1,2406.82,2406.82,Asia,UPI,2023,1,8,6,1,1
ORD15771,2023-01-08,Home Appliances,Table Lamp,2,4266.71,8533.42,Europe,Debit Card,2023,1,8,6,1,1
ORD13442,2023-01-08,Books,Cookbook,4,448.77,1795.08,Australia,PayPal,2023,1,8,6,1,1
ORD10662,2023-01-08,Beauty Products,Face Moisturizer,2,1167.11,2334.22,North America,Credit Card,2023,1,8,6,1,1
ORD10329,2023-01-08,Clothing,Wool Sweater,1,2246.76,2246.76,North America,Debit Card,2023,1,8,6,1,1
ORD14312,2023-01-08,Home Appliances,Microwave Oven,5,3829.94,19149.7,Australia,Debit Card,2023,1,8,6,1,1
ORD11399,2023-01-09,Beauty Products,Face Moisturizer,2,987.35,1974.7,Africa,PayPal,2023,1,9,0,2,0
ORD12321,2023-01-09,Electronics,Wireless Mouse,1,3091.94,3091.94,Australia,UPI,2023,1,9,0,2,0
ORD13868,2023-01-09,Books,Children's Storybook,2,192.58,385.16,Australia,Credit Card,2023,1,9,0,2,0
ORD14896,2023-01-09,Clothing,Cotton T-Shirt,1,2216.26,2216.26,South America,Debit Card,2023,1,9,0,2,0
ORD15732,2023-01-09,Beauty Products,Perfume,53,2040.89,108167.17,South America,Net Banking,2023,1,9,0,2,0
ORD15930,2023-01-09,Clothing,Formal Shirt,1,2664.43,2664.43,Africa,Credit Card,2023,1,9,0,2,0
ORD14417,2023-01-10,Electronics,USB-C Hub,2,2581.94,5163.88,Asia,UPI,2023,1,10,1,2,0
ORD15577,2023-01-10,Beauty Products,Face Moisturizer,1,378.34,378.34,Australia,Credit Card,2023,1,10,1,2,0
ORD15541,2023-01-10,Clothing,Running Shoes,1,2781.23,2781.23,Africa,PayPal,2023,1,10,1,2,0
ORD13503,2023-01-10,Home Appliances,Microwave Oven,22,1113.82,24504.04,South America,UPI,2023,1,10,1,2,0
ORD15683,2023-01-10,Home Appliances,Air Fryer,3,8838.86,26516.58,Asia,Debit Card,2023,1,10,1,2,0
ORD11947,2023-01-10,Electronics,USB-C Hub,2,7975.57,15951.14,Africa,PayPal,2023,1,10,1,2,0
ORD10391,2023-01-10,Clothing,Running Shoes,4,480.25,1921.0,North America,Credit Card,2023,1,10,1,2,0
ORD12242,2023-01-10,Clothing,Cotton T-Shirt,1,2427.28,2427.28,South America,Debit Card,2023,1,10,1,2,0
ORD11856,2023-01-10,Clothing,Formal Shirt,2,3318.05,6636.1,North America,Credit Card,2023,1,10,1,2,0
ORD10768,2023-01-10,Clothing,Wool Sweater,1,2418.5,2418.5,Africa,PayPal,2023,1,10,1,2,0
ORD15589,2023-01-11,Clothing,Denim Jacket,2,2915.64,5831.28,North America,PayPal,2023,1,11,2,2,0
ORD14806,2023-01-11,Electronics,USB-C Hub,3,2513.1,7539.3,North America,Credit Card,2023,1,11,2,2,0
ORD14400,2023-01-11,Books,Fiction Novel,2,584.88,1169.76,South America,UPI,2023,1,11,2,2,0
ORD13186,2023-01-11,Beauty Products,Lipstick,1,598.48,598.48,Asia,PayPal,2023,1,11,2,2,0
ORD12788,2023-01-11,Sports,Cricket Bat,2,4816.06,9632.12,Europe,PayPal,2023,1,11,2,2,0
ORD12396,2023-01-11,Sports,Football,2,4336.5,8673.0,South America,PayPal,2023,1,11,2,2,0
ORD11723,2023-01-11,Home Appliances,Office Chair,3,3146.22,9438.66,Asia,Debit Card,2023,1,11,2,2,0
ORD11131,2023-01-11,Clothing,Running Shoes,3,2449.41,7348.23,Australia,Credit Card,2023,1,11,2,2,0
ORD10776,2023-01-11,Sports,Dumbbell Set,1,3729.63,3729.63,Africa,Credit Card,2023,1,11,2,2,0
ORD10598,2023-01-11,Beauty Products,Perfume,3,2104.05,6312.15,South America,UPI,2023,1,11,2,2,0
ORD10497,2023-01-11,Beauty Products,Sunscreen SPF50,2,605.03,1210.06,Australia,Debit Card,2023,1,11,2,2,0
